iter	Passed	Remaining
588	11071	7725
589	11090	7707
590	11110	7689
591	11131	7671
592	11151	7653
593	11171	7635
594	11193	7619
595	11213	7601
596	11234	7583
597	11256	7567
598	11276	7548
599	11296	7530
600	11317	7513
601	11338	7496
602	11359	7479
603	11381	7462
604	11403	7445
605	11423	7427
606	11443	7409
607	11464	7391
608	11484	7373
609	11505	7355
610	11524	7337
611	11544	7319
612	11564	7300
613	11585	7283
614	11606	7265
615	11626	7247
616	11646	7229
617	11666	7211
618	11686	7193
619	11706	7174
620	11728	7157
621	11748	7139
622	11769	7122
623	11789	7103
624	11809	7085
625	11831	7068
626	11850	7049
627	11872	7032
628	11891	7014
629	11914	6997
630	11937	6980
631	11960	6964
632	11980	6945
633	12001	6928
634	12021	6910
635	12041	6891
636	12061	6873
637	12081	6855
638	12102	6837
639	12122	6818
640	12143	6800
641	12162	6782
642	12182	6763
643	12202	6745
644	12223	6727
645	12242	6708
646	12263	6690
647	12282	6671
648	12302	6653
649	12323	6635
650	12343	6617
651	12365	6600
652	12384	6581
653	12408	6564
654	12427	6545
655	12447	6527
656	12466	6508
657	12486	6490
658	12507	6471
659	12527	6453
660	12546	6434
661	12567	6416
662	12588	6398
663	12611	6381
664	12630	6362
665	12651	6344
666	12672	6326
667	12693	6308
668	12713	6290
669	12735	6272
670	12755	6254
671	12775	6235
672	12796	6217
673	12820	6200
674	12841	6182
675	12862	6164
676	12882	6146
677	12903	6128
678	12924	6110
679	12944	6091
680	12963	6072
681	12984	6054
682	13005	6036
683	13025	6017
684	13046	5999
685	13065	5980
686	13085	5961
687	13105	5943
688	13125	5924
689	13145	5905
690	13166	5887
691	13186	5869
692	13205	5850
693	13225	5831
694	13246	5813
695	13268	5795
696	13287	5776
697	13307	5757
698	13328	5739
699	13348	5720
700	13371	5703
701	13395	5686
702	13419	5669
703	13439	5650
704	13461	5632
705	13484	5615
706	13506	5597
707	13527	5579
708	13551	5562
709	13573	5543
710	13593	5525
711	13615	5507
712	13636	5488
713	13656	5470
714	13678	5452
715	13700	5434
716	13722	5416
717	13748	5399
718	13781	5386
719	13818	5373
720	13841	5355
721	13881	5344
722	13911	5329
723	13943	5315
724	13972	5299
725	13994	5281
726	14017	5263
727	14034	5243
728	14054	5224
729	14073	5205
730	14094	5186
731	14114	5167
732	14133	5148
733	14153	5129
734	14173	5110
735	14195	5091
736	14215	5072
737	14233	5053
738	14252	5033
739	14273	5014
740	14293	4996
741	14314	4977
742	14334	4958
743	14354	4939
744	14376	4920
745	14397	4902
746	14418	4883
747	14438	4864
748	14458	4845
749	14479	4826
750	14500	4807
751	14523	4789
752	14544	4770
753	14565	4752
754	14586	4733
755	14606	4714
756	14630	4696
757	14654	4678
758	14678	4660
759	14700	4642
760	14728	4625
761	14755	4608
762	14784	4592
763	14815	4576
764	14844	4560
765	14867	4541
766	14892	4524
767	14914	4505
768	14939	4487
769	14960	4468
770	14982	4449
771	15003	4431
772	15024	4412
773	15045	4393
774	15067	4374
775	15089	4355
776	15109	4336
777	15129	4317
778	15151	4298
779	15172	4279
780	15192	4259
781	15213	4241
782	15235	4222
783	15259	4204
784	15279	4184
785	15301	4165
786	15320	4146
787	15345	4128
788	15371	4110
789	15395	4092
790	15418	4073
791	15440	4055
792	15461	4035
793	15484	4017
794	15505	3998
795	15526	3979
796	15549	3960
797	15571	3941
798	15593	3922
799	15614	3903
800	15633	3883
801	15653	3864
802	15674	3845
803	15695	3826
804	15717	3807
805	15739	3788
806	15761	3769
807	15786	3751
808	15812	3733
809	15846	3717
810	15875	3699
811	15909	3683
812	15940	3666
813	15967	3648
814	15993	3630
815	16020	3612
816	16051	3595
817	16078	3577
818	16106	3559
819	16137	3542
820	16167	3524
821	16198	3507
822	16223	3489
823	16253	3471
824	16284	3454
825	16316	3437
826	16339	3418
827	16369	3400
828	16393	3381
829	16422	3363
830	16445	3344
831	16465	3324
832	16484	3304
833	16505	3285
834	16526	3265
835	16548	3246
836	16569	3226
837	16592	3207
838	16617	3188
839	16640	3169
840	16660	3149
841	16680	3130
842	16701	3110
843	16724	3091
844	16744	3071
845	16765	3051
846	16785	3032
847	16806	3012
848	16826	2992
849	16846	2972
850	16867	2953
851	16889	2933
852	16910	2914
853	16931	2894
854	16954	2875
855	16974	2855
856	16994	2835
857	17014	2815
858	17037	2796
859	17058	2776
860	17077	2756
861	17098	2737
862	17119	2717
863	17139	2697
864	17159	2678
865	17180	2658
866	17202	2638
867	17223	2619
868	17243	2599
869	17264	2579
870	17284	2559
871	17304	2540
872	17324	2520
873	17344	2500
874	17364	2480
875	17385	2460
876	17406	2441
877	17428	2421
878	17450	2402
879	17470	2382
880	17493	2362
881	17513	2343
882	17535	2323
883	17556	2303
884	17576	2283
885	17598	2264
886	17619	2244
887	17639	2224
888	17660	2205
889	17681	2185
890	17701	2165
891	17720	2145
892	17741	2125
893	17762	2106
894	17782	2086
895	17802	2066
896	17823	2046
897	17848	2027
898	17870	2007
899	17892	1988
900	17915	1968
901	17936	1948
902	17955	1928
903	17977	1909
904	17997	1889
905	18017	1869
906	18036	1849
907	18056	1829
908	18078	1809
909	18098	1790
910	18118	1770
911	18139	1750
912	18159	1730
913	18178	1710
914	18197	1690
915	18216	1670
916	18235	1650
917	18256	1630
918	18277	1610
919	18297	1591
920	18317	1571
921	18338	1551
922	18358	1531
923	18378	1511
924	18397	1491
925	18419	1471
926	18441	1452
927	18460	1432
928	18479	1412
929	18501	1392
930	18523	1372
931	18543	1352
932	18564	1333
933	18585	1313
934	18607	1293
935	18627	1273
936	18648	1253
937	18668	1233
938	18690	1214
939	18710	1194
940	18731	1174
941	18751	1154
942	18773	1134
943	18794	1114
944	18815	1095
945	18838	1075
946	18859	1055
947	18880	1035
948	18904	1015
949	18927	996
950	18948	976
951	18972	956
952	18993	936
953	19016	916
954	19038	897
955	19060	877
956	19080	857
957	19103	837
958	19125	817
959	19149	797
960	19170	778
961	19192	758
962	19214	738
963	19238	718
964	19259	698
965	19280	678
966	19302	658
967	19324	638
968	19347	618
969	19367	599
970	19390	579
971	19412	559
972	19436	539
973	19457	519
974	19479	499
975	19504	479
976	19526	459
977	19549	439
978	19569	419
979	19589	399
980	19609	379
981	19629	359
982	19649	339
983	19670	319
984	19690	299
985	19711	279
986	19733	259
987	19753	239
988	19773	219
989	19793	199
990	19812	179
991	19834	159
992	19856	139
993	19880	120
994	19902	100
995	19925	80
996	19947	60
997	19968	40
998	19988	20
999	20008	0
